time,dev_id,sensor_name,temperature,humidity,battery,lat_long,location_picture_hyperlink
2024-09-14T15:33:35+00:00,r712-4e85,Gum,9.31,69.41,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T15:31:46+00:00,r712-a7f9,Plaza,9.81,65.7,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-15T21:27:34+00:00,r712-a7f8,Elm,9.39,72.55,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T21:33:50+00:00,r712-4e85,Gum,9.43,72.68,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-16T01:31:07+00:00,r712-a7f7,Bench Hub,13.22,67.23,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-16T03:33:44+00:00,r712-4e85,Gum,14.05,68.95,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-16T04:27:35+00:00,r712-a7f8,Elm,13.75,70.85,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T16:31:05+00:00,r712-a7f7,Bench Hub,9.23,65.49,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T16:27:32+00:00,r712-a7f8,Elm,9.13,65.43,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-16T05:27:36+00:00,r712-a7f8,Elm,13.74,72.62,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T22:31:06+00:00,r712-a7f7,Bench Hub,10.74,70.83,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-15T23:27:34+00:00,r712-a7f8,Elm,11.72,66.38,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-15T23:31:55+00:00,r712-a7f9,Plaza,12.15,64.64,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-16T00:27:34+00:00,r712-a7f8,Elm,12.27,66.86,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-16T00:33:50+00:00,r712-4e85,Gum,12.15,68.69,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-15T15:31:05+00:00,r712-a7f7,Bench Hub,8.7,66.73,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-16T12:27:37+00:00,r712-a7f8,Elm,11.07,85.18,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
