time,dev_id,sensor_name,temperature,humidity,battery,lat_long,location_picture_hyperlink
2024-09-12T07:31:32+00:00,r712-a7f9,Plaza,12.93,61.78,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T07:27:12+00:00,r712-a7f8,Elm,12.75,62.74,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T08:30:45+00:00,r712-a7f7,Bench Hub,12.28,65.66,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-11T18:33:33+00:00,r712-4e85,Gum,10.1,70.0,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-11T20:31:29+00:00,r712-a7f9,Plaza,10.54,63.51,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-11T20:33:26+00:00,r712-4e85,Gum,10.3,67.82,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-11T21:30:49+00:00,r712-a7f7,Bench Hub,10.15,67.55,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-11T21:27:10+00:00,r712-a7f8,Elm,10.52,65.85,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-11T23:31:30+00:00,r712-a7f9,Plaza,13.45,54.65,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T00:31:30+00:00,r712-a7f9,Plaza,13.99,54.29,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T03:31:31+00:00,r712-a7f9,Plaza,14.66,56.07,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T02:27:11+00:00,r712-a7f8,Elm,13.52,58.87,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-12T04:31:31+00:00,r712-a7f9,Plaza,14.4,60.61,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-12T04:27:12+00:00,r712-a7f8,Elm,13.86,60.09,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T16:27:20+00:00,r712-a7f8,Elm,11.48,72.6,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T18:30:53+00:00,r712-a7f7,Bench Hub,10.86,82.26,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T19:30:54+00:00,r712-a7f7,Bench Hub,10.26,86.86,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T19:33:30+00:00,r712-4e85,Gum,10.18,86.51,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T20:30:54+00:00,r712-a7f7,Bench Hub,9.37,88.87,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T20:33:31+00:00,r712-4e85,Gum,9.31,88.65,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T21:30:54+00:00,r712-a7f7,Bench Hub,9.57,87.75,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-13T22:27:22+00:00,r712-a7f8,Elm,9.15,87.11,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-13T22:33:31+00:00,r712-4e85,Gum,9.0,88.53,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-13T23:31:42+00:00,r712-a7f9,Plaza,10.12,78.91,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-13T23:33:31+00:00,r712-4e85,Gum,10.14,80.03,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T00:30:55+00:00,r712-a7f7,Bench Hub,9.27,81.09,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T09:31:45+00:00,r712-a7f9,Plaza,9.61,63.3,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T09:27:32+00:00,r712-a7f8,Elm,10.08,63.61,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T10:27:32+00:00,r712-a7f8,Elm,10.12,65.68,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T10:33:34+00:00,r712-4e85,Gum,9.87,67.46,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T12:27:25+00:00,r712-a7f8,Elm,9.75,65.33,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T12:31:46+00:00,r712-a7f9,Plaza,9.73,66.63,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-14T13:27:26+00:00,r712-a7f8,Elm,10.01,66.47,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-14T06:31:03+00:00,r712-a7f7,Bench Hub,10.05,60.28,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T06:33:33+00:00,r712-4e85,Gum,10.71,62.13,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T07:31:04+00:00,r712-a7f7,Bench Hub,10.36,62.83,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-14T07:33:33+00:00,r712-4e85,Gum,10.31,63.28,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-14T08:31:45+00:00,r712-a7f9,Plaza,8.86,71.57,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
